area,crop,last,tile,dates,SustInd,country,version,flatness,src_proj,perimeter,center_lat,center_lng,confidence,exterior_area,number_of_vertices,number_of_vertices_simplified,herbaceous_vegetation,shrubs,open_forest,id,id_long,center
4933.173879,100,0.072946,37MCT,"20230602,20230826,20230925",-8.775555,KE,202405,0.05005897811,32737,0,-2.356142,37.819092,97.21684718,4933.173879,41,16,0,0,0,86204_37MCT_ke-1207121065,86204_37MCT_ke-1207121065083474_202405,"-2.356142,37.819092"
10371.62869,100,0.081367,37MCT,"20230602,20230826,20230925",-0.89474,KE,202405,0.04299899048,32737,0,-2.362216,37.834439,96.72004294,10437.24552,58,30,0,0,0,108002_37MCT_ke-120712106,108002_37MCT_ke-1207121065083474_202405,"-2.362216,37.834439"
625.805318,100,0.088743,37MCT,"20230602,20230826,20230925",0.504896,KE,202405,0.05572632713,32737,0,-2.364299,37.8205,95.53812647,625.805318,20,10,0,0,0,15613_37MCT_ke-1207121065,15613_37MCT_ke-1207121065083474_202405,"-2.364299,37.8205"
3383.837702,100,0.059967,37MCT,"20230602,20230826,20230925",-8.77626,KE,202405,0.05892041231,32737,0,-2.381123,37.836567,97.88614392,3383.837702,36,14,0,0,0,15559_37MCT_ke-1207121065,15559_37MCT_ke-1207121065083474_202405,"-2.381123,37.836567"
5076.426665,100,0.090659,37MCT,"20230602,20230826,20230925",0.265585,KE,202405,0.05923065168,32737,0,-2.359295,37.822362,97.25692201,5151.453998,47,26,0,0,0,5117_37MCT_ke-12071210650,5117_37MCT_ke-1207121065083474_202405,"-2.359295,37.822362"
6103.94527,75,0.072901,37MCT,"20230602,20230826,20230925",-7.49604,KE,202405,0.02807989108,32737,0,-2.35623,37.819551,96.30687666,6103.94527,54,18,0,25,0,11083_37MCT_ke-1207121065,11083_37MCT_ke-1207121065083474_202405,"-2.35623,37.819551"
447.951658,100,0.094419,37MCT,"20230602,20230826,20230925",2.055884,KE,202405,0.05698240269,32737,0,-2.367706,37.827784,96.27795529,447.951658,21,8,0,0,0,128286_37MCT_ke-120712106,128286_37MCT_ke-1207121065083474_202405,"-2.367706,37.827784"
924.052981,0,0.104823,37MCT,"20230602,20230826,20230925",-2.793298,KE,202405,0.05682686003,32737,0,-2.381582,37.826203,91.92696667,924.052981,25,15,0,100,0,40057_37MCT_ke-1207121065,40057_37MCT_ke-1207121065083474_202405,"-2.381582,37.826203"
53472.71906,100,0.096081,37MCT,"20230602,20230826,20230925",-9.948922,KE,202405,0.02400954959,32737,0,-2.369637,37.814245,92.63849545,54454.51541,248,125,0,0,0,24834_37MCT_ke-1207121065,24834_37MCT_ke-1207121065083474_202405,"-2.369637,37.814245"
3381.126415,100,0.086105,37MCT,"20230602,20230826,20230925",-9.938571,KE,202405,0.03830302731,32737,0,-2.377914,37.837042,94.26004791,3381.126415,39,20,0,0,0,90614_37MCT_ke-1207121065,90614_37MCT_ke-1207121065083474_202405,"-2.377914,37.837042"
6792.142882,40,0.088623,37MCT,"20230602,20230826,20230925",-3.006456,KE,202405,0.04979926674,32737,0,-2.37451,37.808587,94.35275936,6792.142882,46,17,0,60,0,99248_37MCT_ke-1207121065,99248_37MCT_ke-1207121065083474_202405,"-2.37451,37.808587"
5785.215352,100,0.080102,37MCT,"20230602,20230826,20230925",-0.336648,KE,202405,0.0514624375,32737,0,-2.372514,37.836995,97.63551211,5854.320818,54,19,0,0,0,123816_37MCT_ke-120712106,123816_37MCT_ke-1207121065083474_202405,"-2.372514,37.836995"
2336.539722,100,0.07533,37MCT,"20230602,20230826,20230925",-2.232153,KE,202405,0.06917242842,32737,0,-2.360283,37.807418,98.35271609,2336.539722,19,11,0,0,0,141233_37MCT_ke-120712106,141233_37MCT_ke-1207121065083474_202405,"-2.360283,37.807418"
6121.930089,100,0.083815,37MCT,"20230602,20230826,20230925",-3.692219,KE,202405,0.06487968635,32737,0,-2.360206,37.82228,97.25646877,6121.930089,34,15,0,0,0,67530_37MCT_ke-1207121065,67530_37MCT_ke-1207121065083474_202405,"-2.360206,37.82228"
23866.85601,100,0.079437,37MCT,"20230602,20230826,20230925",-1.18407,KE,202405,0.03387232324,32737,0,-2.372276,37.833597,97.10310793,23967.12582,98,46,0,0,0,11261_37MCT_ke-1207121065,11261_37MCT_ke-1207121065083474_202405,"-2.372276,37.833597"
9208.486078,100,0.082391,37MCT,"20230602,20230826,20230925",-1.362762,KE,202405,0.06741224843,32737,0,-2.367925,37.815036,93.62277412,9208.486078,40,14,0,0,0,5120_37MCT_ke-12071210650,5120_37MCT_ke-1207121065083474_202405,"-2.367925,37.815036"
11520.27178,100,0.08313,37MCT,"20230602,20230826,20230925",-4.236698,KE,202405,0.02567166889,32737,0,-2.365988,37.833222,97.03477764,11711.61092,94,42,0,0,0,92037_37MCT_ke-1207121065,92037_37MCT_ke-1207121065083474_202405,"-2.365988,37.833222"
8074.49958,100,0.075635,37MCT,"20230602,20230826,20230925",-7.903247,KE,202405,0.05203188266,32737,0,-2.37421,37.809721,96.56287837,8074.49958,47,19,0,0,0,119401_37MCT_ke-120712106,119401_37MCT_ke-1207121065083474_202405,"-2.37421,37.809721"
8540.135177,100,0.082987,37MCT,"20230602,20230826,20230925",-3.595434,KE,202405,0.05457937284,32737,0,-2.359772,37.824451,97.16702175,8540.135177,44,16,0,0,0,154061_37MCT_ke-120712106,154061_37MCT_ke-1207121065083474_202405,"-2.359772,37.824451"
2438.734814,100,0.071939,37MCT,"20230602,20230826,20230925",-2.739702,KE,202405,0.06855525543,32737,0,-2.371207,37.837527,97.06838083,2438.734814,20,10,0,0,0,102204_37MCT_ke-120712106,102204_37MCT_ke-1207121065083474_202405,"-2.371207,37.837527"
6464.083785,100,0.069083,37MCT,"20230602,20230826,20230925",-8.255439,KE,202405,0.02616354659,32737,0,-2.366424,37.835686,96.38101459,6464.083785,59,23,0,0,0,116906_37MCT_ke-120712106,116906_37MCT_ke-1207121065083474_202405,"-2.366424,37.835686"
11941.69667,100,0.072363,37MCT,"20230602,20230826,20230925",-4.838094,KE,202405,0.02071523191,32737,0,-2.361125,37.816331,90.15623665,12030.18362,130,52,0,0,0,114948_37MCT_ke-120712106,114948_37MCT_ke-1207121065083474_202405,"-2.361125,37.816331"
13240.86936,100,0.086278,37MCT,"20230602,20230826,20230925",-8.392,KE,202405,0.04869794209,32737,0,-2.378799,37.828388,97.51450682,13240.86936,58,24,0,0,0,25720_37MCT_ke-1207121065,25720_37MCT_ke-1207121065083474_202405,"-2.378799,37.828388"
739.086322,100,0.082851,37MCT,"20230602,20230826,20230925",-2.331733,KE,202405,0.0587989525,32737,0,-2.364954,37.833488,90.25043201,739.086322,19,10,0,0,0,5283_37MCT_ke-12071210650,5283_37MCT_ke-1207121065083474_202405,"-2.364954,37.833488"
